ingredient_name,group_name,Water,Energy,Protein,Total lipid (fat),Ash,CHO ,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu",Iodine,"Selenium, Se, ug",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total, ug","Choline, total","Vitamin B-12, ug","Vitamin A, IU",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",PUFA 18:2,PUFA 18:3,PUFA 20:5 n-3 (EPA),PUFA 22:6 n-3 (DHA),Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine
"Beef, 97",Group A,74.8,480.1587302,87.3015873,11.9047619,4.246031746,0,0,31.74603175,9.682539683,87.3015873,805.5555556,1416.666667,261.9047619,20.67460317,0.317460317,0,0.070238095,0.162698413,0.599206349,22.46031746,2.670634921,1.591269841,0.015873016,288.8888889,0.008968254,55.55555556,0.674603175,11.9047619,0.611111111,0.126984127,0,0,0.444444444,3.376984127,3.857142857,6.825396825,7.222222222,2.246031746,0.896825397,3.404761905,2.686507937,4.285714286,5.674603175
Beef 80,Group B,61.9,666.6666667,45.14435696,52.49343832,2.204724409,0,0,47.24409449,5.091863517,44.61942257,414.6981627,708.6614173,173.2283465,10.97112861,0.160104987,0,0.039370079,0.112860892,0.396325459,11.1023622,1.307086614,0.847769029,0.018372703,148.0314961,0.005616798,36.74540682,0.446194226,7.874015748,1.102362205,0.170603675,0,0,0.228346457,1.745406824,1.992125984,3.517060367,3.727034121,1.160104987,0.464566929,1.758530184,1.385826772,2.215223097,2.939632546
"sardine with bones, canned",Group C,59.6,514.8514851,60.89108911,28.21782178,8.366336634,0,0,945.5445545,7.227722772,96.53465347,1212.871287,982.6732673,759.9009901,3.242574257,0.46039604,0,0.130445545,0.198019802,0.561881188,12.97029703,1.589108911,0.413366337,0.024752475,185.6435644,0.022128713,267.3267327,5.04950495,477.7227723,8.762376238,1.232673267,1.170792079,1.25990099,0.683168317,2.673267327,2.797029703,4.95049505,5.594059406,1.804455446,0.653465347,2.378712871,2.056930693,3.143564356,3.638613861
salmon raw pink ,Group A,75.5,518.3673469,83.67346939,17.95918367,6.204081633,0,0,28.57142857,1.551020408,110.2040816,1065.306122,1493.877551,306.122449,1.591836735,0.257142857,0,0.128163265,0.326530612,0.428571429,32.65306122,4.204081633,2.493877551,0.016326531,386.122449,0.016938776,477.5510204,1.632653061,1775.510204,0.330612245,0.191836735,0.742857143,1.359183673,0.902040816,4.367346939,3.893877551,6.367346939,7.183673469,2.355102041,0.648979592,3.448979592,3.028571429,4.489795918,5.265306122
"Talipia, fish",Group A,78.1,438.3561644,91.78082192,7.762557078,4.246575342,0,0,45.66210046,2.557077626,123.2876712,776.2557078,1378.995434,237.4429224,1.506849315,0.342465753,0,0.191780822,0.365296804,0.479452055,36.52968037,4.703196347,2.789954338,0.01826484,431.9634703,0.018949772,534.2465753,1.826484018,566.2100457,0.721461187,0.150684932,0.02283105,0.392694064,1.00913242,4.885844749,4.356164384,7.123287671,8.03652968,2.634703196,0.726027397,3.858447489,3.388127854,5.02283105,5.890410959
turkey breast only,Group A,74.9,454.1832669,94.42231076,5.896414343,4.143426295,0.557768924,0,43.8247012,2.908366534,111.5537849,800.7968127,964.1434263,450.1992032,5.099601594,0.278884462,0,0.090438247,0.167330677,0.577689243,39.52191235,3.087649402,3.239043825,0.027888446,244.2231076,0.00250996,79.6812749,0.239043825,19.92031873,0.796812749,0.035856574,0,0.011952191,1.003984064,3.422310757,2.701195219,6.533864542,7.768924303,2.466135458,0.888446215,3.039840637,2.800796813,3.011952191,5.338645418
duck breast only,Group A,75.5,502.0408163,80.81632653,17.34693878,5.428571429,0,0,12.24489796,18.40816327,89.79591837,759.1836735,1093.877551,232.6530612,3.020408163,1.346938776,0,0.056734694,1.697959184,1.265306122,14.04081633,3.142857143,2.571428571,0.102040816,0,0.003102041,216.3265306,0,0,2.081632653,0.285714286,0,0,1.126530612,3.46122449,4.163265306,6.857142857,6.93877551,2.191836735,1.244897959,3.395918367,3.085714286,4.244897959,5.183673469
beef heart,Organ meat,77.1,489.0829694,77.29257642,17.20524017,4.80349345,0.611353712,0,30.56768559,18.8209607,91.70305677,925.7641921,1253.275109,427.9475983,7.423580786,1.729257642,0,0.095196507,1.03930131,3.956331878,32.88209607,7.816593886,1.218340611,0.013100437,0,0.037336245,0,0.96069869,0,1.72489083,0.069868996,0,0,0,0,0,0,0,0,0,0,0,0,0
whitefish raw,Group C,72.8,492.6470588,70.22058824,21.54411765,4.117647059,0,0,95.58823529,1.360294118,121.3235294,992.6470588,1165.441176,187.5,3.639705882,0.264705882,0,0.046323529,0.514705882,0.441176471,11.02941176,2.757352941,1.102941176,0.055147059,238.9705882,0.003676471,441.1764706,0.735294118,1757.352941,1,0.672794118,1.165441176,3.459558824,0.786764706,3.077205882,3.235294118,5.698529412,6.433823529,2.077205882,0.753676471,2.738970588,2.367647059,3.613970588,4.191176471
quial meat with skin ,Group B,69.6,631.5789474,64.47368421,39.47368421,2.960526316,0,0,42.76315789,13.05921053,75.65789474,904.6052632,710.5263158,174.3421053,7.960526316,1.667763158,0,0.054605263,0.802631579,0.855263158,24.80263158,2.539473684,1.973684211,0.026315789,0,0.001414474,799.3421053,0,0,7.565789474,1.381578947,0.032894737,0,0.947368421,3.108552632,3.322368421,5.296052632,5.394736842,1.944078947,1.118421053,2.717105263,2.792763158,3.388157895,4.210526316
quial meat only,Group A,70,446.6666667,72.66666667,15.1,4.4,0,0,43.33333333,15.03333333,83.33333333,1023.333333,790,170,9,1.98,0,0.058,0.943333333,0.95,27.33333333,2.623333333,1.766666667,0.023333333,0,0.001566667,190,0,0,3.1,0.066666667,0.033333333,0,1.136666667,3.633333333,3.966666667,6.233333333,6.333333333,2.296666667,1.266666667,3.146666667,3.366666667,3.933333333,4.6
"egg white, raw",Group A,87.6,419.3548387,87.90322581,1.370967742,5.080645161,5.887096774,0,56.4516129,0.64516129,88.70967742,120.9677419,1314.516129,1338.709677,0.241935484,0.185483871,0,0.161290323,0.032258065,3.540322581,0.846774194,1.532258065,0.040322581,0.032258065,8.870967742,0.000725806,0,0,0,0,0,0,0,1.008064516,3.620967742,5.330645161,8.225806452,6.5,3.217741935,2.314516129,5.532258065,3.685483871,6.524193548,5.225806452
"Beef tongue, raw",Organ meat,64.5,630.9859155,41.97183099,45.35211268,2.253521127,10.36619718,0,16.90140845,8.309859155,45.07042254,374.6478873,887.3239437,194.3661972,8.084507042,0.478873239,0,0.026478873,0.352112676,0.957746479,11.94366197,1.83943662,0.873239437,0.01971831,0,0.010676056,0,0,0,1.633802817,0,0,0,0.321126761,1.825352113,1.805633803,3.126760563,3.23943662,0.887323944,0.549295775,1.732394366,1.357746479,2.008450704,2.673239437
"pork loin, lean bonless",Organ meat,73.3,494.3820225,83.89513109,15.20599251,3.782771536,0,0,18.72659176,2.02247191,97.37827715,842.6966292,1400.749064,183.5205993,6.741573034,0.217228464,0,0.103745318,1.65917603,0.700374532,21.49812734,2.790262172,2.827715356,0,222.8464419,0.001910112,0,0.486891386,59.92509363,1.307116105,0.048689139,0,0,0.883895131,3.745318352,4.119850187,7.153558052,7.790262172,2.310861423,0.966292135,3.524344569,3.191011236,4.382022472,5.580524345
pork shoulder lean,Group C,72.6,540.1459854,71.53284672,26.05839416,3.722627737,0,0,51.09489051,4.452554745,76.64233577,737.2262774,1244.525547,277.3722628,11.45985401,0.354014599,0,0.107664234,3.226277372,1.145985401,15.62043796,3,1.51459854,0.018248175,0,0.003065693,21.89781022,0,0,2.262773723,0.109489051,0,0,0.905109489,3.259124088,3.339416058,5.729927007,6.423357664,1.890510949,0.908759124,2.846715328,2.48540146,3.868613139,4.452554745
"pork loin, bonless",Group C,70.1,555.1839465,71.23745819,27.85953177,3.244147157,0,0,23.41137124,1.772575251,80.26755853,722.4080268,1197.324415,157.1906355,5.785953177,0.18729097,0,0.088628763,1.424749164,0.605351171,18.62876254,2.414715719,2.401337793,0,191.638796,0.00180602,16.72240803,0.401337793,70.23411371,3.053511706,0.137123746,0,0,0.752508361,3.204013378,3.511705686,6.086956522,6.622073579,1.966555184,0.822742475,3,2.715719064,3.745819398,4.74916388
chikcen liver,Organ meat,76.5,506.3829787,71.91489362,20.55319149,4.510638298,3.106382979,0,34.04255319,38.25531915,80.85106383,1263.829787,978.7234043,302.1276596,11.36170213,2.093617021,0,0.232340426,1.29787234,7.574468085,41.40425532,26.5106383,3.629787234,2.50212766,825.5319149,0.070638298,47234.04255,2.978723404,0,2.021276596,0.05106383,0,0,0.74893617,3.085106383,3.459574468,6.425531915,5.659574468,1.838297872,1.157446809,3.506382979,2.778723404,4.246808511,4.638297872
"chicken breast, meat only",Group A,73.9,459.7701149,86.20689655,10.03831418,4.329501916,0,0,19.15708812,1.417624521,107.2796935,816.091954,1279.693487,172.4137931,2.605363985,0.141762452,0,0.087356322,0.360153257,0.67816092,36.7816092,5.747126437,3.107279693,0.034482759,314.559387,0.000804598,114.9425287,2.14559387,3.831417625,1.222222222,0.049808429,0.011494253,0.01532567,1.084291188,3.869731801,4.214559387,7.126436782,8.275862069,2.24137931,0.904214559,3.478927203,3.103448276,4.444444444,5.823754789
Chicken thigh with skin ,Group B,66.5,659.7014925,49.25373134,49.55223881,2.417910448,0.746268657,0,20.89552239,2.029850746,53.73134328,468.6567164,608.9552239,241.7910448,3.850746269,0.16119403,0,0.05641791,0.217910448,0.432835821,13.79104478,0.567164179,1.035820896,0.008955224,136.4179104,0.001850746,232.8358209,0.626865672,8.955223881,9.253731343,0.48358209,0.011940299,0.020895522,0.498507463,2.194029851,2.182089552,3.940298507,4.328358209,1.307462687,0.546268657,1.886567164,1.728358209,2.280597015,3.462686567
"Chicken heart, raw",Organ meat,73.6,579.5454545,59.09090909,35.34090909,3.21969697,2.689393939,0,45.45454545,22.57575758,56.81818182,670.4545455,666.6666667,280.3030303,24.96212121,1.310606061,0,0.016287879,0.575757576,2.757575758,18.48484848,9.696969697,1.363636364,0.272727273,0,0.027613636,113.6363636,0,0,7.234848485,0.265151515,0,0,0.753787879,2.666666667,3.15530303,5.151515152,4.924242424,1.424242424,0.799242424,2.636363636,2.109848485,3.333333333,3.776515152
"Chicken Gizzards, raw  ",Organ meat,79.3,454.1062802,85.50724638,9.951690821,4.589371981,0,0,53.14009662,12.02898551,72.46376812,714.9758454,1144.927536,333.3333333,13.14009662,0.560386473,0,0.123188406,0.1352657,1.115942029,17.77777778,3.048309179,0.541062802,0.024154589,5.845410628,0.309178744,1.594202899,0,0,1.188405797,0.014492754,0,0,0,0,0,0,0,0,0,0,0,0,0
Beef heart,Organ meat,77.1,489.0829694,77.29257642,17.20524017,4.80349345,0.611353712,0,30.56768559,18.8209607,91.70305677,925.7641921,1253.275109,427.9475983,7.423580786,1.729257642,0,0.095196507,1.03930131,3.956331878,32.88209607,7.816593886,1.218340611,0.013100437,0,0.037336245,0,0,0.96069869,1.72489083,0.069868996,0,0,0,0,0,0,0,0,0,0,0,0,0
ground lamb meat,Organ meat,59.5,696.2962963,40.98765432,57.77777778,2.148148148,0,0,39.50617284,3.827160494,51.85185185,387.654321,548.1481481,145.6790123,8.419753086,0.249382716,0,0.046419753,0.271604938,0.518518519,14.71604938,1.604938272,0.320987654,0.044444444,171.1111111,0.005703704,0,0.49382716,4.938271605,3.358024691,1.037037037,0,0,0.47654321,1.750617284,1.972839506,3.185185185,3.604938272,1.049382716,0.488888889,1.664197531,1.372839506,2.204938272,2.42962963
lamb liver,Organ meat,70.8,465.7534247,70.89041096,16.84931507,4.657534247,7.602739726,0,13.69863014,15.75342466,61.64383562,1304.794521,976.0273973,202.0547945,11.64383562,39.04109589,0,0.038013699,4.143835616,14.41780822,46.91780822,19.07534247,0.746575342,0,0,0.202054795,176027.3973,2.945205479,0,0.698630137,0.503424658,0.441780822,0.558219178,0.784246575,3.380136986,3.174657534,5.479452055,6.198630137,2.311643836,0.928082192,2.79109589,2.455479452,3.595890411,4.760273973
Lamb kidney,Organ meat,81,442.1052632,80,13.36842105,6.263157895,0.157894737,0,42.10526316,34.73684211,84.21052632,1289.473684,1215.789474,884.2105263,9.526315789,1.9,0,0.492631579,2.173684211,6.736842105,44.36842105,16.89473684,0.910526316,0,0,0.265263158,1073.684211,2.210526316,26.31578947,0.873684211,0.263157895,0.489473684,0.189473684,0.884210526,3.821052632,3.584210526,6.210526316,7,2.610526316,1.047368421,3.152631579,2.773684211,4.078947368,5.368421053
Lamb heart,Organ meat,76.7,523.6051502,70.81545064,24.3776824,3.991416309,0.901287554,0,25.75107296,19.74248927,72.96137339,751.0729614,1356.223176,381.9742489,8.025751073,1.703862661,0,0.137339056,1.587982833,4.248927039,26.35193133,11.28755365,1.673819742,0.008583691,0,0.043776824,0,0,0,1.030042918,0.557939914,0.17167382,0.128755365,0.763948498,3.334763948,3.064377682,6.008583691,5.321888412,1.549356223,0.592274678,3.055793991,2.201716738,3.515021459,4.635193133
"Ostrich, ground",Group B,71.1,570.9342561,69.89619377,30.10380623,2.525951557,0,0,24.22145329,10.06920415,69.20415225,688.5813149,1006.920415,249.1349481,12.14532872,0.442906574,0,0.114186851,0.629757785,0.923875433,15.15570934,3.737024221,1.643598616,0.024221453,0,0.015951557,0,0.830449827,0,2.688581315,0.193771626,0,0,0.62283737,3.069204152,3.325259516,5.674740484,6.15916955,1.955017301,0.719723183,2.885813149,2.273356401,3.453287197,4.775086505
Rabbit meat,Group A,74.5,447.0588235,85.49019608,9.098039216,4.392156863,0,0,47.05882353,12.54901961,113.7254902,886.2745098,1482.352941,196.0784314,0,0,0,0.036862745,0.117647059,0.235294118,25.49019608,0,0,0,0,0,0,0,0,1.411764706,0.352941176,0,0,1.129411765,3.823529412,4.039215686,6.666666667,7.490196078,2.137254902,1.074509804,3.509803922,3.043137255,4.352941176,5.294117647
Trout,Group C,73.8,538.1679389,75.95419847,23.58778626,4.618320611,0,0,95.41984733,1.183206107,95.41984733,862.5954198,1438.931298,194.6564885,1.717557252,0.175572519,0,0.090076336,0.458015267,0.34351145,21.25954198,6.374045802,1.297709924,0.041984733,248.0916031,0.016412214,1068.70229,8.93129771,2423.664122,1.877862595,0.255725191,0.828244275,1.969465649,0.893129771,3.492366412,3.671755725,6.488549618,7.328244275,2.358778626,0.854961832,3.110687023,2.687022901,4.122137405,4.770992366
"Shrimp, raw",Group A,83,417.6470588,80,5.941176471,10.94117647,5.352941176,0,317.6470588,1.235294118,129.4117647,1435.294118,664.7058824,3329.411765,5.705882353,1.070588235,0,0.174117647,0.117647059,0.088235294,10.47058824,1.823529412,0.947058824,0.111764706,475.8823529,0.006529412,1058.823529,7.764705882,11.76470588,0.558823529,0.035294118,0.4,0.411764706,0.911764706,3.176470588,3.688235294,6.823529412,7.647058824,2.335294118,0.952941176,3.488235294,3.029411765,3.747058824,7.882352941
