"id","ingredient_name","group_name","water_g","energy_kcal","protein_g","fat_g","ash_g","cho_g","fiber_g","calcium_mg","iron_mg","phosphorus_mg","potassium_mg","sodium_mg","zinc_mg","copper_mg","iodine_mg","selenium_mg","thiamin_mg","riboflavin_mg","niacin_mg","pantothenic_acid_mg","vitamin_b6_mg","folate_ug","choline_mg","vitamin_b12_ug","vitamin_a_iu","vitamin_e_mg","vitamin_d_iu","pufa_18_2_g","pufa_18_3_g","pufa_20_5_g","pufa_22_6_g","tryptophan_g","threonine_g","isoleucine_g","leucine_g","lysine_g","methionine_g","cystine_g","phenylalanine_g","tyrosine_g","valine_g","arginine_g","magnesium_mg"
2,"Oyster Canned","Meat Group A","85.1","456.37582","47.38255","16.57718","9.530201","26.241611","0","302.01343","44.966442","932.885906","1536.912752","751.6778523","610.738255","29.93288591","3.020134228","0.240268456","1.006711409","1.11409396","8.322147651","1.208053691","0.637583893","0.060402685","543.6241611","0.128187919","2013.422819","5.704697987","6.711409396","0.32885906","0.248322148","1.416107383","1.530201342","0.530201342","2.040268456","2.060402685","3.33557047","3.543624161","1.067114094","0.624161074","1.697986577","1.516778523","2.067114094","3.456375839","362.4161074"
9,"Almond oil","Oil","0","884","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.2","0","17.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
5,"Beef heart","Organ Meat","77.1","489.083","77.293","17.205","4.803","0.611","0","30.568","18.821","925.7641921","1253.275109","427.9475983","7.423580786","1.729257642","0","0.095196507","1.03930131","3.956331878","32.88209607","7.816593886","1.218340611","0.013100437","0","0.037336245","0","0.96069869","0","1.72489083","0.069868996","0","0","0","0","0","0","0","0","0","0","0","0","0","91.70305677"
12,"White rice","Grain A","12.9","413.318","7.589","0.666","0.666","91.045","0","10.333","0.918","123.9954076","98.73708381","1.148105626","1.331802526","0.126291619","0","0","0.080367394","0.05510907","1.836969001","1.538461538","0.166475316","0.010332951","0","0","0","0","0","0.14695752","0.030998852","0","0","0.088404133","0.270952928","0.327210103","0.626865672","0.274397245","0.177956372","0.154994259","0.405281286","0.253731343","0.462686567","0.6326062","40.1836969"
14,"Coconut oil","Oil","0","884","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.11","0","1.68","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
13,"Psyllium husk","Fiber","0","0","0","0","2","0","78","184","8.6","111","967.0","74.0","0.29","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.9"
15,"Beef, 97","Meat Group A","74.8","480.15872","87.30159","11.904762","4.2460318","0","0","31.74603","9.68254","805.5555556","1416.666667","261.9047619","20.67460317","0.317460317","0","0.070238095","0.162698413","0.599206349","22.46031746","2.670634921","1.591269841","0.015873016","288.8888889","0.008968254","55.55555556","0.674603175","11.9047619","0.611111111","0.126984127","0","0","0.444444444","3.376984127","3.857142857","6.825396825","7.222222222","2.246031746","0.896825397","3.404761905","2.686507937","4.285714286","5.674603175","87.3015873"
16,"salmon raw pink","Meat Group A","75.5","518.3674","83.67347","17.959183","6.2040815","0","0","28.571428","1.5510204","1065.306122","1493.877551","306.122449","1.591836735","0.257142857","0","0.128163265","0.326530612","0.428571429","32.65306122","4.204081633","2.493877551","0.016326531","386.122449","0.016938776","477.5510204","1.632653061","1775.510204","0.330612245","0.191836735","0.742857143","1.359183673","0.902040816","4.367346939","3.893877551","6.367346939","7.183673469","2.355102041","0.648979592","3.448979592","3.028571429","4.489795918","5.265306122","110.2040816"
17,"Talipia, fish","Meat Group A","78.1","438.35617","91.78082","7.762557","4.2465754","0","0","45.6621","2.5570776","776.2557078","1378.995434","237.4429224","1.506849315","0.342465753","0","0.191780822","0.365296804","0.479452055","36.52968037","4.703196347","2.789954338","0.01826484","431.9634703","0.018949772","534.2465753","1.826484018","566.2100457","0.721461187","0.150684932","0.02283105","0.392694064","1.00913242","4.885844749","4.356164384","7.123287671","8.03652968","2.634703196","0.726027397","3.858447489","3.388127854","5.02283105","5.890410959","123.2876712"
18,"turkey breast only","Meat Group A","74.9","454.18326","94.42231","5.8964143","4.1434264","0.55776894","0","43.8247","2.9083664","800.7968127","964.1434263","450.1992032","5.099601594","0.278884462","0","0.090438247","0.167330677","0.577689243","39.52191235","3.087649402","3.239043825","0.027888446","244.2231076","0.00250996","79.6812749","0.239043825","19.92031873","0.796812749","0.035856574","0","0.011952191","1.003984064","3.422310757","2.701195219","6.533864542","7.768924303","2.466135458","0.888446215","3.039840637","2.800796813","3.011952191","5.338645418","111.5537849"
19,"duck breast only","Meat Group A","75.5","502.0408","80.81633","17.34694","5.428571","0","0","12.244898","18.408163","759.1836735","1093.877551","232.6530612","3.020408163","1.346938776","0","0.056734694","1.697959184","1.265306122","14.04081633","3.142857143","2.571428571","0.102040816","0","0.003102041","216.3265306","0","0","2.081632653","0.285714286","0","0","1.126530612","3.46122449","4.163265306","6.857142857","6.93877551","2.191836735","1.244897959","3.395918367","3.085714286","4.244897959","5.183673469","89.79591837"
20,"egg white, raw","Meat Group A","87.6","419.35483","87.90323","1.3709677","5.080645","5.887097","0","56.451614","0.6451613","120.9677419","1314.516129","1338.709677","0.241935484","0.185483871","0","0.161290323","0.032258065","3.540322581","0.846774194","1.532258065","0.040322581","0.032258065","8.870967742","0.000725806","0","0","0","0","0","0","0","1.008064516","3.620967742","5.330645161","8.225806452","6.5","3.217741935","2.314516129","5.532258065","3.685483871","6.524193548","5.225806452","88.70967742"
21,"quail meat only","Meat Group A","70","446.66666","72.666664","15.1","4.4","0","0","43.333332","15.033334","1023.333333","790","170","9","1.98","0","0.058","0.943333333","0.95","27.33333333","2.623333333","1.766666667","0.023333333","0","0.001566667","190","0","0","3.1","0.066666667","0.033333333","0","1.136666667","3.633333333","3.966666667","6.233333333","6.333333333","2.296666667","1.266666667","3.146666667","3.366666667","3.933333333","4.6","83.33333333"
22,"Rabbit meat","Meat Group A","74.5","447.05884","85.4902","9.09804","4.392157","0","0","47.058823","12.54902","886.2745098","1482.352941","196.0784314","0","0","0","0.036862745","0.117647059","0.235294118","25.49019608","0","0","0","0","0","0","0","0","1.411764706","0.352941176","0","0","1.129411765","3.823529412","4.039215686","6.666666667","7.490196078","2.137254902","1.074509804","3.509803922","3.043137255","4.352941176","5.294117647","113.7254902"
23,"Shrimp, raw","Meat Group A","83","417.64706","80","5.9411764","10.941176","5.352941","0","317.64706","1.2352941","1435.294118","664.7058824","3329.411765","5.705882353","1.070588235","0","0.174117647","0.117647059","0.088235294","10.47058824","1.823529412","0.947058824","0.111764706","475.8823529","0.006529412","1058.823529","7.764705882","11.76470588","0.558823529","0.035294118","0.4","0.411764706","0.911764706","3.176470588","3.688235294","6.823529412","7.647058824","2.335294118","0.952941176","3.488235294","3.029411765","3.747058824","7.882352941","129.4117647"
24,"Beef 80","Meat Group B","61.9","666.6667","45.144356","52.49344","2.2047243","0","0","47.244095","5.0918636","414.6981627","708.6614173","173.2283465","10.97112861","0.160104987","0","0.039370079","0.112860892","0.396325459","11.1023622","1.307086614","0.847769029","0.018372703","148.0314961","0.005616798","36.74540682","0.446194226","7.874015748","1.102362205","0.170603675","0","0","0.228346457","1.745406824","1.992125984","3.517060367","3.727034121","1.160104987","0.464566929","1.758530184","1.385826772","2.215223097","2.939632546","44.61942257"
25,"quail meat with skin","Meat Group B","69.6","631.5789","64.47369","39.473682","2.9605262","0","0","42.763157","13.059211","904.6052632","710.5263158","174.3421053","7.960526316","1.667763158","0","0.054605263","0.802631579","0.855263158","24.80263158","2.539473684","1.973684211","0.026315789","0","0.001414474","799.3421053","0","0","7.565789474","1.381578947","0.032894737","0","0.947368421","3.108552632","3.322368421","5.296052632","5.394736842","1.944078947","1.118421053","2.717105263","2.792763158","3.388157895","4.210526316","75.65789474"
26,"Chicken thigh with skin","Meat Group B","66.5","659.7015","49.25373","49.55224","2.4179103","0.74626863","0","20.895523","2.0298507","468.6567164","608.9552239","241.7910448","3.850746269","0.16119403","0","0.05641791","0.217910448","0.432835821","13.79104478","0.567164179","1.035820896","0.008955224","136.4179104","0.001850746","232.8358209","0.626865672","8.955223881","9.253731343","0.48358209","0.011940299","0.020895522","0.498507463","2.194029851","2.182089552","3.940298507","4.328358209","1.307462687","0.546268657","1.886567164","1.728358209","2.280597015","3.462686567","53.73134328"
27,"Ostrich, ground","Meat Group B","71.1","570.93427","69.896194","30.103806","2.5259516","0","0","24.221453","10.069204","688.5813149","1006.920415","249.1349481","12.14532872","0.442906574","0","0.114186851","0.629757785","0.923875433","15.15570934","3.737024221","1.643598616","0.024221453","0","0.015951557","0","0.830449827","0","2.688581315","0.193771626","0","0","0.62283737","3.069204152","3.325259516","5.674740484","6.15916955","1.955017301","0.719723183","2.885813149","2.273356401","3.453287197","4.775086505","69.20415225"
1,"Beef, 90","Meat Group B","69.4","575.1634","65.359474","32.679737","3.2026143","0","0","39.215687","7.3202615","601.3071895","1049.019608","215.6862745","15.65359477","0.235294118","0","0.054248366","0.137254902","0.493464052","16.56862745","1.964052288","1.205882353","0.019607843","216.0130719","0.007222222","45.75163399","0.555555556","9.803921569","0.859477124","0.150326797","0","0","0.333333333","2.532679739","2.892156863","5.098039216","5.424836601","1.683006536","0.673202614","2.552287582","2.013071895","3.212418301","4.248366013","65.35947712"
28,"sardine with bones, canned","Meat Group C","59.6","514.8515","60.89109","28.217821","8.366337","0","0","945.54456","7.2277226","1212.871287","982.6732673","759.9009901","3.242574257","0.46039604","0","0.130445545","0.198019802","0.561881188","12.97029703","1.589108911","0.413366337","0.024752475","185.6435644","0.022128713","267.3267327","5.04950495","477.7227723","8.762376238","1.232673267","1.170792079","1.25990099","0.683168317","2.673267327","2.797029703","4.95049505","5.594059406","1.804455446","0.653465347","2.378712871","2.056930693","3.143564356","3.638613861","96.53465347"
29,"whitefish raw","Meat Group C","72.8","492.64706","70.22059","21.544117","4.117647","0","0","95.588234","1.3602941","992.6470588","1165.441176","187.5","3.639705882","0.264705882","0","0.046323529","0.514705882","0.441176471","11.02941176","2.757352941","1.102941176","0.055147059","238.9705882","0.003676471","441.1764706","0.735294118","1757.352941","1","0.672794118","1.165441176","3.459558824","0.786764706","3.077205882","3.235294118","5.698529412","6.433823529","2.077205882","0.753676471","2.738970588","2.367647059","3.613970588","4.191176471","121.3235294"
30,"deer ground meat","Meat Group C","71.2","545.1389","75.69444","24.756945","3.0555556","0","0","38.194443","10.138889","697.9166667","1145.833333","260.4166667","14.58333333","0.486111111","0","0.034722222","1.899305556","0.996527778","19.79166667","2.395833333","1.611111111","0.013888889","305.2083333","0.006493056","0","1.5625","0","0.78125","0.361111111","0","0","0.666666667","2.840277778","3.225694444","5.694444444","6.111111111","1.753472222","0.701388889","2.840277778","2.347222222","3.645833333","4.479166667","72.91666667"
39,"Brown rice, raw","Grain A","11.8","416.09976","8.548753","3.6281178","1.3718821","82.31293","4.0816326","10.204082","1.4625851","352.6077098","283.446712","5.66893424","2.414965986","0.342403628","0","0.019387755","0.613378685","0.107709751","7.358276644","1.201814059","0.540816327","0.026077098","24.37641723","0","0","0.680272109","0","1.097505669","0.036281179","0","0","0.114512472","0.329931973","0.380952381","0.744897959","0.343537415","0.202947846","0.108843537","0.464852608","0.337868481","0.528344671","0.682539683","131.5192744"
40,"Sorghum raw","Grain A","12.4","375.57077","12.100456","3.9497716","1.6324201","74.65753","7.6484017","14.840182","3.8356164","329.9086758","414.3835616","2.283105023","1.906392694","0.324200913","0","0.013926941","0.378995434","0.109589041","4.212328767","0.418949772","0.505707763","0.02283105","0","0","0","0.570776256","0","1.700913242","0.074200913","0","0","0.141552511","0.394977169","0.494292237","1.700913242","0.261415525","0.192922374","0.144977169","0.623287671","0.366438356","0.640410959","0.405251142","188.3561644"
41,"Quinoa, raw","Grain A","13.3","424.45215","16.262976","7.0011535","2.745098","65.974625","8.073818","54.20992","5.2710495","527.1049596","649.3656286","5.767012687","3.575547866","0.680507497","0","0.009803922","0.415224913","0.366782007","1.753171857","0.890426759","0.561707036","0.212226067","80.96885813","0","16.14763552","2.814302191","0","3.437139562","0.29988466","0","0.054209919","0.192618224","0.485582468","0.581314879","0.968858131","0.883506344","0.356401384","0.234140715","0.683967705","0.307958478","0.685121107","1.257208766","227.2202999"
42,"Tapioca, pearl dry","Grain A","11","402.2472","0.21348314","0.02247191","0.123595506","98.65169","1.011236","22.47191","1.775281","7.865168539","12.35955056","1.123595506","0.134831461","0.02247191","0","0.000898876","0.004494382","0","0","0.151685393","0.008988764","0.004494382","1.348314607","0","0","0","0","0.002247191","0.001123596","0","0","0.003370787","0.004494382","0.004494382","0.006741573","0.006741573","0.002247191","0.004494382","0.004494382","0.002247191","0.005617978","0.021348315","1.123595506"
43,"Millet raw","Grain A","8.67","413.88373","12.044235","4.6206064","3.5585241","70.40403","9.306909","8.759444","3.2957406","312.0551845","213.511442","5.47465236","1.839483193","0.821197854","0","0.002956312","0.460965729","0.317529837","5.168071827","0.92850104","0.420453301","0.09306909","0","0","0","0.054746524","0","2.211759553","0.129201796","0","0","0.130296726","0.386510457","0.509142669","1.532902661","0.23212526","0.241979634","0.23212526","0.635059674","0.37227636","0.632869813","0.41826344","124.8220738"
44,"Rye grain","Grain B","10.6","378.07605","11.521253","1.8232663","1.7561522","68.00895","16.89038","26.845638","2.9418344","371.3646532","570.4697987","2.237136465","2.964205817","0.410514541","0","0.015548098","0.353467562","0.280760626","4.776286353","1.63310962","0.32885906","0.042505593","34.00447427","0","12.30425056","0.950782998","0","0.737136465","0.120805369","0","0","0.120805369","0.323266219","0.232662192","0.629753915","0.319910515","0.17114094","0","0.476294755","0.218986094","0.34709296","0.497098434","123.0425056"
45,"oat, raw","Grain B","6.55","263.24237","18.512573","7.5227394","3.092563","54.360622","16.4794","62.065277","5.789192","785.446763","605.6714821","4.280363831","3.327982879","0.431246656","0","0.048368111","1.252006421","0.235420011","0.999464955","1.594435527","0.176565008","0.05564473","34.45692884","0","0","1.080791867","0","2.825040128","0.129481006","0","0","0.358480471","0.537185661","0.71482076","1.466024612","0.813269128","0.358480471","0.616372392","0.97164259","0.71482076","1.031567683","1.369716426","251.4713751"
